
"Rob Pike
","1993
","Plan 9 and Inferno
","
","C
","Free
","LPL (OSI approved)
","Yes
","
","
"
"John E. Davis
","1992
","0.99-19
","2009-12-13
","C, S-Lang
","Free
","GPL
","Yes
","Yes
","3.5 MB[2]
"
"Slava Pestov
","1998
","5.4.0
","2017-03-18
","Java
","Free
","GPL
","Yes
","
","
"
"Joseph Allen
","1988
","4.6
","2018-01-10
","C
","Free
","GPL
","Yes
","Yes
","1.3 MB
"
"Johnathon Payne
","1983
","4.16
","1996-03-19
","C
","Free
","GPL
","Yes
","
","
"
"KDE Project
","2000-12
","17.12.3
","2018-03-08
","C++
","Free
","GPL
","Yes
","
","
"
"Mansfield Software Group, Inc.
","1983
","1.6.1
","2016-12-05
","C
","$129
","Proprietary
","No
","Yes
","1.1MB
"
"Activestate
","2007 (open-sourced)
","10.2.3
","2017-07-11
","Python, JavaScript, Perl, Tcl, PHP, Ruby
","Free
","MPL, GPL, LGPL
","Yes
","
","
"
"Activestate
","2001
","11.0.2
","2017-12-19
","Python, JavaScript, Perl, Tcl, PHP, Ruby
","$295
","Proprietary
","No
","
","
"
"KDE Project
","2000
","17.12.3
","2017-03-08
","C++
","Free
","GPL
","Yes
","
","
"
"Alexander V. Lukyanov
","1997
","1.16.3
","2016-06-06
","C++
","Free
","GPL
","Yes
","
","
"
"Edward K. Ream
","1996
","5.7.2
","2018-05-07
","Python
","Free
","MIT
","Yes
","
","
"
"Chris Granger
","2012
","0.8.1
","2016-01-21
","ClojureScript
","Free
","MIT
","Yes
","
","
"
"Alexander Davidson
","1999
","3.6
","2011-05-28
","C
","Free
","GPL
","Yes
","
","
"
"Dave Conroy
","1986
","current
","
","C
","Free
","Public domain
","Yes
","
","
"
"Thomas Wolff
","1992
","2015.25
","2015-03-30
","C
","Free
","GPL
","Yes
","
","
"
"Microsoft
","1991
","2.0.026
","
","
","Bundled with MS-DOS, Microsoft Windows
","Proprietary
","No
","No
","
"
"Chris Allegretta
","1999
","4.4
","2019-08-25
","C
","Free
","GPL
","Yes
","Yes
","0.6 MB
"
"Sebastiano Vigna, Todd Lewis, Daniele Filaretti
","1993
","3.2.1
","2019-10-02
","C
","Free
","GPL
","Yes
","
","2.7 MB
"
"Mark Edel
","1991
","5.7
","2017-02-08
","C
","Free
","GPL
","Yes
","
","
"
"Microsoft
","1985
","6.0
","
","MASM (originally)
","Bundled with Microsoft Windows
","Proprietary
","No
","
","
"
"Don Ho
","2003-11-25
","7.7.1
","2019-06-20
","C++
","Free
","GPL
","Yes
","Yes
","
"
"Florian Balmer
","2004-04
","4.2.25
","2011-05-06
","C++
","Free
","BSD
","Yes
","
","
"
"Eric Fookes, Fookes Software
","1995
","7.2
","2014-11-04
","Object Pascal (Delphi)
","Free, €39.95 Pro
","Proprietary
","No
","
","
"
"Keith Bostic
","1994
","1.79
","
","C
","Free
","BSD
","Yes
","
","
"
"Ioannis Zafeiropoulos
","2014
","1.4
","2014-12-07
","Objective-C, JavaScript
","$14.99
","Proprietary
","No
","
","
"
"University of Washington
","1992
","4.64
","
","C
","Free
","AL2
","Yes
","
","
"
"PolySoft Solutions
","1998
","5.4
","2010-04-07
","
","$27.95
","Shareware
","No
","
","
"
"Jan Fiala
","2002
","5.0.0 (277)
","2018-04-24
","Object Pascal (Delphi)
","Free
","Proprietary
","No
","
","
"
"Baara Estudio
","2007
","1.2.21
","2011-06-16
","?
","Free
","Proprietary
","No
","
","
"
"Rickard Johansson
","2004
","13.10
","2018-05-07
","Object Pascal (Delphi)
","Free
","Proprietary
","No
","
","
"
"Fifesoft
","2003
","2.6.3
","2017-04-30
","Java
","Free
","BSD
","Yes
","
","
"
"Rob Pike
","1980s (early)
","stable
","
","C
","Free
","LPL (OSI approved)
","Yes
","
","
"
"Neil Hodgson
","1999
","4.0.5
","2018-04-10
","C++
","$41.99 for macOS. free for others
","HPND
","Yes
","
","
"
"SlickEdit, Inc.
","1988
","23.0.0
","2018-10-23
","C, Slick-C
","$299
","Proprietary
","No
","
","
"
"Peter Borg
","2004
","9.2.3
","2017-02-20
","Objective-C
","$5
","Proprietary
","No
","
","
"
"Source Dynamics
","?
","4.0.0084
","2017-02-26
","Source Insight macro language
","$239-$255
","Proprietary
","No
","
","
"
"TheCodingMonkeys
","2003
","4.1
","2015-02-25
","
","$35 commercial use
","Proprietary
","No
","
","
"
"Jon Skinner
","2008
","3.2.1 (Build 3207)
","2019-04-06
","C++, Objective-C++ (macOS version), Python
","$80
","Proprietary
","No
","No
","21 MB
"
"Juraj Simlovic
","2001
","6.1.1
","2016-12-04
","C
","Free
","Freeware
","No
","
","
"
"Mitchell
","2007
","9.6
","2017-11-01
","C, Lua
","Free
","MIT
","Yes
","
","
"
"Apple Inc.
","2001
","1.13
","2017-07-16
","
","Free (also bundled with macOS)
","New BSD
","Yes
","
","
"
"MacroMates
","2004-10-10
","1.5.11
","2012-07-13
","Objective-C++
","$53 (€39)
","Proprietary, with MIT components. Version 2 released under GPLv3
","Yes (from version 2)
","
","
"
"Helios Software Solutions
","1992
","8.1.2
","2017-03-07
","
","$30.00 (£16.50)
","Shareware
","No
","
","
"
"Bare Bones Software
","2003
","5.5.1
","2016-07-27
","
","Free
","Proprietary
","No
","
","
"
"Sammy Mitchell
","1985-11
","4.4
","2005-06-24
","C, SAL
","$99
","Proprietary
","No
","
","
"
"IDM Computer Solutions
","1994
","25.0
","2018-03-12
","C++
","$99.95
","Proprietary
","No
","
","
"
"Ted Green, Greenview Data
","1980
","6.24.2
","2015-01-12
","Assembly, C
","$89 standard, $239 Pro64
","Proprietary
","No
","Yes
","0.6 MB
"
"Bill Joy
","1976
","3.7
","
","C
","Free
","BSD or CDDL
","Yes
","Yes
","
"
"Bram Moolenaar
","1991
","8.1
","2018-05-12
","C, Vim script
","Free
","GPL compatible
","Yes
","Yes
","2.2 MB
"
"Microsoft
","2015
","1.33.0
","2019-04-04
","JavaScript, C#, C++, JSON, HTML, PHP, Python, Markdown, TypeScript, CSS
","Free
","MIT
","Yes
","
","180-200 MB
"
"Lucid Inc.
","1991
","21.4.22
","2009-01-30
","C, Emacs Lisp
","Free
","GPL
","Yes
","
","
"
